Compound,Date,Negative,Neutral,News,Positive,Tweets Ago
-0.5667,2018-03-29 02:22:01+00:00,0.818,0.182,CNN,0.0,89
-0.5574,2018-03-29 02:16:06+00:00,0.841,0.159,CNN,0.0,90
0.7378,2018-03-29 02:11:03+00:00,0.753,0.0,CNN,0.247,91
-0.6705,2018-03-29 02:09:41+00:00,0.842,0.158,CNN,0.0,92
0.0,2018-03-29 02:08:27+00:00,1.0,0.0,CNN,0.0,93
0.34,2018-03-29 02:01:07+00:00,0.888,0.0,CNN,0.112,94
-0.8658,2018-03-29 01:58:02+00:00,0.573,0.427,CNN,0.0,95
0.0,2018-03-29 01:56:05+00:00,1.0,0.0,CNN,0.0,96
0.0,2018-03-29 01:51:56+00:00,1.0,0.0,CNN,0.0,97
-0.34,2018-03-29 01:51:03+00:00,0.893,0.107,CNN,0.0,98
0.0,2018-03-29 01:46:06+00:00,1.0,0.0,CNN,0.0,99
0.0,2018-03-29 01:36:49+00:00,1.0,0.0,CNN,0.0,100
0.0,2018-02-13 22:36:18+00:00,1.0,0.0,fox,0.0,1
-0.2732,2018-02-13 22:36:12+00:00,0.845,0.103,fox,0.052,2
0.4199,2018-02-13 22:36:06+00:00,0.417,0.0,fox,0.583,3
0.3612,2018-02-13 22:35:52+00:00,0.898,0.0,fox,0.102,4
0.0,2018-02-13 22:35:27+00:00,1.0,0.0,fox,0.0,5
0.0,2018-02-13 22:20:23+00:00,1.0,0.0,fox,0.0,6
0.7096,2018-02-13 08:58:56+00:00,0.699,0.0,fox,0.301,7
-0.1531,2018-02-13 08:53:04+00:00,0.746,0.138,fox,0.116,8
0.5106,2018-02-13 06:58:06+00:00,0.809,0.0,fox,0.191,9
-0.6696,2018-02-13 06:49:50+00:00,0.424,0.424,fox,0.152,10
0.1531,2018-02-13 06:36:50+00:00,0.922,0.0,fox,0.078,11
0.4738,2018-02-13 06:36:42+00:00,0.393,0.0,fox,0.607,12
0.4199,2018-02-13 06:36:24+00:00,0.518,0.0,fox,0.482,13
0.5994,2018-02-13 06:33:04+00:00,0.506,0.0,fox,0.494,14
0.5807,2018-02-13 05:46:35+00:00,0.604,0.113,fox,0.283,15
0.4199,2018-02-13 05:32:44+00:00,0.417,0.0,fox,0.583,16
0.4767,2018-02-13 04:55:00+00:00,0.866,0.0,fox,0.134,17
-0.4588,2018-02-13 03:33:08+00:00,0.75,0.25,fox,0.0,18
0.0,2018-02-13 03:20:33+00:00,1.0,0.0,fox,0.0,19
0.7875,2018-02-13 03:18:21+00:00,0.365,0.0,fox,0.635,20
0.0,2018-02-13 03:02:47+00:00,1.0,0.0,fox,0.0,21
0.4404,2018-02-13 03:02:18+00:00,0.854,0.0,fox,0.146,22
-0.5423,2018-02-13 02:39:19+00:00,0.868,0.132,fox,0.0,23
0.6115,2018-02-13 02:35:13+00:00,0.79,0.0,fox,0.21,24
0.0,2018-02-13 02:29:45+00:00,1.0,0.0,fox,0.0,25
0.624,2018-02-13 02:28:33+00:00,0.729,0.0,fox,0.271,26
0.0,2018-02-13 01:19:39+00:00,1.0,0.0,fox,0.0,27
0.2732,2018-02-13 01:19:23+00:00,0.819,0.0,fox,0.181,28
0.6496,2018-02-13 01:19:06+00:00,0.788,0.0,fox,0.212,29
0.0,2018-02-13 01:12:08+00:00,1.0,0.0,fox,0.0,30
0.0,2018-02-13 01:10:00+00:00,1.0,0.0,fox,0.0,31
-0.5859,2018-02-13 00:56:28+00:00,0.774,0.226,fox,0.0,32
0.0,2018-02-13 00:49:05+00:00,1.0,0.0,fox,0.0,33
0.0,2018-02-13 00:47:50+00:00,1.0,0.0,fox,0.0,34
0.9371,2018-02-13 00:39:27+00:00,0.433,0.0,fox,0.567,35
0.6808,2018-02-13 00:37:23+00:00,0.772,0.0,fox,0.228,36
0.0,2018-02-13 00:20:50+00:00,1.0,0.0,fox,0.0,37
0.4767,2018-02-13 00:20:20+00:00,0.474,0.234,fox,0.292,38
0.2732,2018-02-13 00:18:12+00:00,0.913,0.0,fox,0.087,39
0.2244,2018-02-13 00:15:09+00:00,0.651,0.142,fox,0.207,40
0.3182,2018-02-12 23:42:41+00:00,0.909,0.0,fox,0.091,41
0.5093,2018-02-12 23:40:52+00:00,0.708,0.0,fox,0.292,42
0.0,2018-02-12 23:40:16+00:00,1.0,0.0,fox,0.0,43
0.0,2018-02-12 23:36:29+00:00,1.0,0.0,fox,0.0,44
0.296,2018-02-12 23:34:32+00:00,0.75,0.079,fox,0.171,45
0.6369,2018-02-12 23:32:12+00:00,0.435,0.0,fox,0.565,46
-0.7096,2018-02-12 23:29:12+00:00,0.469,0.342,fox,0.189,47
-0.3612,2018-02-12 23:26:32+00:00,0.884,0.116,fox,0.0,48
-0.5095,2018-02-12 23:22:00+00:00,0.765,0.235,fox,0.0,49
